# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
2.1230 3.7925 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7287 -4.3047 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0147 0.0147 0.0000
-0.5744 -3.8800 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0062 0.0062 0.0000
-0.4202 -3.4552 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0023 0.0023 0.0000
-0.2661 -3.0304 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0041 0.0041 0.0000
-0.1122 -2.6056 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0119 0.0119 0.0000
0.0416 -2.1807 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0574 -0.0064 0.0000
0.1953 -1.7558 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.1063 -0.0187 0.0000
0.3489 -1.3308 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.1524 -0.0224 0.0000
0.5025 -0.9059 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.1905 -0.0175 0.0000
0.6561 -0.4810 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.2154 -0.0059 0.0000
0.8097 -0.0561 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.2224 0.0093 0.0000
0.9633 0.3688 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.2085 0.0235 0.0000
1.1170 0.7936 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.1726 0.0312 0.0000
1.2708 1.2184 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.1166 0.0274 0.0000
1.4246 1.6431 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0445 0.0076 0.0000
1.5786 2.0678 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.7328 2.4923 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8871 2.9168 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
2.0416 3.3412 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
2.1964 3.7655 -492403.8765 20.0000 80.0000 50000.0000 50000.0000 0.0128 -0.0128 0.0000
-0.6553 -4.3317 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0175 0.0175 0.0000
-0.5009 -3.9069 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0094 0.0094 0.0000
-0.3467 -3.4821 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0043 0.0043 0.0000
-0.1927 -3.0573 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0033 0.0033 0.0000
-0.0388 -2.6324 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0070 0.0070 0.0000
0.1149 -2.2075 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0155 0.0151 0.0000
0.2686 -1.7826 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0527 0.0020 0.0000
0.4222 -1.3577 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0878 -0.0043 0.0000
0.5758 -0.9328 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.1166 -0.0040 0.0000
0.7294 -0.5078 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.1350 0.0015 0.0000
0.8830 -0.0829 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.1395 0.0096 0.0000
1.0366 0.3419 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.1277 0.0166 0.0000
1.1903 0.7667 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0991 0.0181 0.0000
1.3441 1.1915 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0551 0.0100 0.0000
1.4979 1.6162 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0050 -0.0050 0.0000
1.6519 2.0408 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8061 2.4654 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.9604 2.8899 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
2.1149 3.3142 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
2.2697 3.7385 -541644.2642 20.0000 80.0000 50000.0000 50000.0000 0.0202 -0.0202 0.0000
-0.5818 -4.3586 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0198 0.0198 0.0000
-0.4275 -3.9338 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0117 0.0117 0.0000
-0.2733 -3.5090 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0057 0.0057 0.0000
-0.1193 -3.0842 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0026 0.0026 0.0000
0.0345 -2.6593 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0030 0.0030 0.0000
0.1883 -2.2344 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0068 0.0068 0.0000
0.3420 -1.8094 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0136 0.0136 0.0000
0.4956 -1.3845 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0329 0.0114 0.0000
0.6491 -0.9596 -590884.6518 20.0000 80.0000 50000.0000 50000.0000 0.0539 0.0075 0.0000
